codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
197850,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54737,100,237,2,0,1,1,2403,54737
197852,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54739,100,237,2,0,1,1,2426,54739
197854,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54741,100,237,2,0,1,1,5242,54741
197858,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54745,100,237,2,0,1,1,2404,54745
197859,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54746,100,237,2,0,1,1,3942,54746
197860,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54747,100,237,2,0,1,1,2422,54747
197864,C,2025-09-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,61",54751,100,237,2,0,1,1,2544,54751
196940,C,2025-07-18 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.023,18",54793,100,237,2,0,2,1,5708,54793
198719,D,2025-11-06 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.022,13",60228,1,2,0,22,1,2,245,60228
193925,C,2025-01-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.022,12",53916,100,237,2,0,2,1,3206,53916
195518,D,2025-04-25 00:00:00.000,DHL EXPRESS - 4791906,"1.021,95",0,,237,0,23,0,0,0,NULL
195994,C,2025-05-27 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.021,62",54616,100,237,2,0,1,1,5708,54616
196992,C,2025-07-22 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.019,63",54807,100,237,2,0,3,1,2017,54807
196720,C,2025-07-08 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.019,63",54807,100,237,2,0,2,1,2017,54807
193926,C,2025-01-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.018,54",53920,100,237,2,0,2,1,2017,53920
194101,C,2025-02-04 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.018,54",53920,100,237,2,0,3,1,2017,53920
198486,C,2025-10-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.018,37",54886,100,2,2,0,1,1,2413,54886
197955,C,2025-09-18 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.017,84",55235,100,237,2,0,1,1,5644,55235
197440,C,2025-08-19 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.017,64",54827,100,237,2,0,3,1,3363,54827
196872,C,2025-07-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.017,25",54324,100,237,2,0,1,1,3942,54324
